Date,Soybean
05/12/1968,2.4375
06/12/1968,2.4475
09/12/1968,2.4363
10/12/1968,2.4375
11/12/1968,2.4463
12/12/1968,2.45
13/12/1968,2.4575
16/12/1968,2.455
17/12/1968,2.4488
18/12/1968,2.4475
19/12/1968,2.4488
20/12/1968,2.4625
23/12/1968,2.4788
24/12/1968,2.46
26/12/1968,2.4625
27/12/1968,2.4625
30/12/1968,2.4663
31/12/1968,2.4663
02/01/1969,2.465
03/01/1969,2.4638
06/01/1969,2.47
07/01/1969,2.4725
08/01/1969,2.4938
09/01/1969,2.4913
10/01/1969,2.4825
13/01/1969,2.445
14/01/1969,2.4425
15/01/1969,2.4513
16/01/1969,2.4588
17/01/1969,2.455
20/01/1969,2.455
21/01/1969,2.455
22/01/1969,2.4563
23/01/1969,2.465
24/01/1969,2.4625
27/01/1969,2.4575
28/01/1969,2.455
29/01/1969,2.455
30/01/1969,2.455
31/01/1969,2.4575
03/02/1969,2.4525
04/02/1969,2.4563
05/02/1969,2.4563
06/02/1969,2.4575
07/02/1969,2.4538
10/02/1969,2.4475
11/02/1969,2.4463
12/02/1969,2.4475
13/02/1969,2.4488
14/02/1969,2.435
17/02/1969,2.43
18/02/1969,2.4313
19/02/1969,2.4413
20/02/1969,2.435
24/02/1969,2.4325
25/02/1969,2.43
26/02/1969,2.4275
27/02/1969,2.43
28/02/1969,2.4388
03/03/1969,2.43
04/03/1969,2.435
05/03/1969,2.4138
06/03/1969,2.41
07/03/1969,2.4063
10/03/1969,2.3988
11/03/1969,2.3988
12/03/1969,2.3963
13/03/1969,2.3913
14/03/1969,2.3875
17/03/1969,2.3763
18/03/1969,2.375
19/03/1969,2.375
20/03/1969,2.3788
21/03/1969,2.3775
24/03/1969,2.3788
25/03/1969,2.3875
26/03/1969,2.385
27/03/1969,2.3875
28/03/1969,2.3975
01/04/1969,2.3925
02/04/1969,2.3825
03/04/1969,2.3875
07/04/1969,2.39
08/04/1969,2.395
09/04/1969,2.395
10/04/1969,2.395
11/04/1969,2.3938
14/04/1969,2.3875
15/04/1969,2.3925
16/04/1969,2.3963
17/04/1969,2.3938
18/04/1969,2.3925
21/04/1969,2.39
22/04/1969,2.385
23/04/1969,2.3888
24/04/1969,2.3925
25/04/1969,2.3975
28/04/1969,2.4025
29/04/1969,2.3988
30/04/1969,2.3975
01/05/1969,2.4
02/05/1969,2.4063
05/05/1969,2.41
06/05/1969,2.4163
07/05/1969,2.4113
08/05/1969,2.4075
09/05/1969,2.4075
12/05/1969,2.4113
13/05/1969,2.4125
14/05/1969,2.4175
15/05/1969,2.4175
16/05/1969,2.4175
19/05/1969,2.4175
20/05/1969,2.415
21/05/1969,2.415
22/05/1969,2.4163
23/05/1969,2.405
26/05/1969,2.3938
27/05/1969,2.4
28/05/1969,2.3975
29/05/1969,2.3875
02/06/1969,2.3888
03/06/1969,2.3825
04/06/1969,2.38
05/06/1969,2.385
06/06/1969,2.3875
09/06/1969,2.395
10/06/1969,2.39
11/06/1969,2.3975
12/06/1969,2.405
13/06/1969,2.405
16/06/1969,2.4
17/06/1969,2.4
18/06/1969,2.4088
19/06/1969,2.405
20/06/1969,2.405
23/06/1969,2.4075
24/06/1969,2.4025
25/06/1969,2.4075
26/06/1969,2.4
27/06/1969,2.3963
30/06/1969,2.4025
01/07/1969,2.4025
02/07/1969,2.4025
03/07/1969,2.41
07/07/1969,2.4238
08/07/1969,2.4138
09/07/1969,2.4175
10/07/1969,2.4125
11/07/1969,2.415
14/07/1969,2.4325
15/07/1969,2.4375
16/07/1969,2.435
17/07/1969,2.4413
18/07/1969,2.43
22/07/1969,2.4325
23/07/1969,2.4175
24/07/1969,2.4038
25/07/1969,2.3863
28/07/1969,2.3813
29/07/1969,2.385
30/07/1969,2.4013
31/07/1969,2.4013
01/08/1969,2.3975
04/08/1969,2.3975
05/08/1969,2.4013
06/08/1969,2.4013
07/08/1969,2.405
08/08/1969,2.4175
11/08/1969,2.4138
12/08/1969,2.415
13/08/1969,2.4175
14/08/1969,2.4175
15/08/1969,2.4113
18/08/1969,2.4013
19/08/1969,2.3963
20/08/1969,2.3938
21/08/1969,2.4
22/08/1969,2.4025
25/08/1969,2.4075
26/08/1969,2.4
27/08/1969,2.4063
28/08/1969,2.4113
29/08/1969,2.415
02/09/1969,2.3963
03/09/1969,2.4025
04/09/1969,2.405
05/09/1969,2.405
08/09/1969,2.4013
09/09/1969,2.4
10/09/1969,2.4025
11/09/1969,2.4125
12/09/1969,2.4275
15/09/1969,2.4288
16/09/1969,2.4488
17/09/1969,2.435
18/09/1969,2.4313
19/09/1969,2.44
22/09/1969,2.4325
23/09/1969,2.4313
24/09/1969,2.4288
25/09/1969,2.435
26/09/1969,2.4163
29/09/1969,2.4213
30/09/1969,2.4188
01/10/1969,2.4138
02/10/1969,2.43
03/10/1969,2.4575
06/10/1969,2.4575
07/10/1969,2.4475
08/10/1969,2.4538
09/10/1969,2.4663
10/10/1969,2.46
13/10/1969,2.49
14/10/1969,2.4863
15/10/1969,2.5025
16/10/1969,2.4863
17/10/1969,2.4875
20/10/1969,2.4875
21/10/1969,2.4925
22/10/1969,2.4988
23/10/1969,2.51
24/10/1969,2.5288
27/10/1969,2.495
28/10/1969,2.4788
29/10/1969,2.4938
30/10/1969,2.4938
31/10/1969,2.4963
03/11/1969,2.4938
04/11/1969,2.49
05/11/1969,2.485
06/11/1969,2.4913
07/11/1969,2.4938
10/11/1969,2.5013
11/11/1969,2.5113
12/11/1969,2.5125
13/11/1969,2.5238
14/11/1969,2.51
17/11/1969,2.5013
18/11/1969,2.4988
19/11/1969,2.4863
20/11/1969,2.4888
21/11/1969,2.4825
24/11/1969,2.4438
25/11/1969,2.4488
26/11/1969,2.4488
28/11/1969,2.4388
01/12/1969,2.4338
02/12/1969,2.435
03/12/1969,2.4525
04/12/1969,2.4375
