Date,SoybeanMeal
15/03/1963,62
18/03/1963,60.5
19/03/1963,60.3
20/03/1963,59.9
21/03/1963,60.2
22/03/1963,60.25
25/03/1963,60.1
26/03/1963,59.65
27/03/1963,59.4
28/03/1963,60
29/03/1963,59.9
01/04/1963,59.4
02/04/1963,59.25
03/04/1963,59.5
04/04/1963,59.4
05/04/1963,59.5
08/04/1963,59.5
09/04/1963,59.5
10/04/1963,59.6
11/04/1963,60
15/04/1963,60.1
16/04/1963,60.25
17/04/1963,60.15
18/04/1963,60.5
19/04/1963,60.7
22/04/1963,60.6
23/04/1963,61.15
24/04/1963,61.25
25/04/1963,62.2
26/04/1963,61.7
29/04/1963,61.75
30/04/1963,61.5
01/05/1963,61.45
02/05/1963,61.45
03/05/1963,61.9
06/05/1963,62.25
07/05/1963,62.65
08/05/1963,62.6
09/05/1963,63.3
10/05/1963,63.25
13/05/1963,62.95
14/05/1963,62.45
15/05/1963,62.25
16/05/1963,62
17/05/1963,61.7
20/05/1963,61.9
21/05/1963,61.85
22/05/1963,62.4
23/05/1963,62.65
24/05/1963,62.75
27/05/1963,62.3
28/05/1963,62.7
29/05/1963,62.65
31/05/1963,62.9
03/06/1963,63.5
04/06/1963,63.3
05/06/1963,63.1
06/06/1963,63.5
07/06/1963,63.5
10/06/1963,63.6
11/06/1963,63.9
12/06/1963,65.2
13/06/1963,65.25
14/06/1963,65.75
17/06/1963,65.4
18/06/1963,64.9
19/06/1963,64.3
20/06/1963,64.7
21/06/1963,64.15
24/06/1963,65
25/06/1963,65.3
26/06/1963,65.8
27/06/1963,66.25
28/06/1963,66.5
01/07/1963,70.7
02/07/1963,69.25
03/07/1963,68.15
05/07/1963,69.65
08/07/1963,67.95
09/07/1963,68.1
10/07/1963,68.25
11/07/1963,68.35
12/07/1963,67.55
15/07/1963,65.3
16/07/1963,65.75
17/07/1963,65.5
18/07/1963,65.9
19/07/1963,65.25
22/07/1963,65.2
23/07/1963,65.6
24/07/1963,66.6
25/07/1963,67.5
26/07/1963,66.95
29/07/1963,67.4
30/07/1963,66.8
31/07/1963,66.7
01/08/1963,66.7
02/08/1963,67.55
05/08/1963,68.5
06/08/1963,68.1
07/08/1963,67.35
08/08/1963,67
09/08/1963,66.75
12/08/1963,66
13/08/1963,66.45
14/08/1963,66.15
15/08/1963,66.65
16/08/1963,66.5
19/08/1963,66.85
20/08/1963,67.6
21/08/1963,66.9
22/08/1963,67.8
23/08/1963,68
26/08/1963,68.35
27/08/1963,69.4
28/08/1963,68.8
29/08/1963,68.35
30/08/1963,68.4
03/09/1963,68.5
04/09/1963,68.6
05/09/1963,68
06/09/1963,67.85
09/09/1963,67.75
10/09/1963,68.35
11/09/1963,69.9
12/09/1963,70.05
13/09/1963,69.8
16/09/1963,70.5
17/09/1963,71.6
18/09/1963,70.7
19/09/1963,70.45
20/09/1963,71.25
23/09/1963,72.35
24/09/1963,73.2
25/09/1963,73.6
26/09/1963,72.5
27/09/1963,71.05
30/09/1963,72.85
01/10/1963,73.5
02/10/1963,72.8
03/10/1963,73.25
04/10/1963,73.4
07/10/1963,74.85
08/10/1963,74.45
09/10/1963,75.75
10/10/1963,75.4
11/10/1963,72
14/10/1963,72.5
15/10/1963,74.1
16/10/1963,72.6
17/10/1963,72.05
18/10/1963,72
21/10/1963,71.85
22/10/1963,72.3
23/10/1963,71.7
24/10/1963,71.9
25/10/1963,74
28/10/1963,74.1
29/10/1963,73.55
30/10/1963,74
31/10/1963,74.6
01/11/1963,74.75
04/11/1963,74.6
05/11/1963,74.3
06/11/1963,74.2
07/11/1963,74.55
08/11/1963,75
11/11/1963,74.5
12/11/1963,73.9
13/11/1963,73.7
14/11/1963,72.5
15/11/1963,72.5
18/11/1963,72
19/11/1963,72.8
20/11/1963,73.9
21/11/1963,73.45
22/11/1963,72.6
26/11/1963,73.25
27/11/1963,72.55
29/11/1963,73.05
02/12/1963,72.9
03/12/1963,72.25
04/12/1963,71.95
05/12/1963,72
06/12/1963,73.8
09/12/1963,73.45
10/12/1963,73.9
11/12/1963,74.5
12/12/1963,74
13/12/1963,73.65
16/12/1963,73.5
17/12/1963,73.45
18/12/1963,73.75
19/12/1963,78.8
20/12/1963,75.35
23/12/1963,75.2
24/12/1963,75.05
26/12/1963,75.98
27/12/1963,76.5
30/12/1963,75.45
31/12/1963,75.8
02/01/1964,75.25
03/01/1964,75.55
06/01/1964,76.4
07/01/1964,75.6
08/01/1964,74.75
09/01/1964,75.5
10/01/1964,74.95
13/01/1964,75.2
14/01/1964,75.5
15/01/1964,75.9
16/01/1964,76
17/01/1964,75.45
20/01/1964,75.3
21/01/1964,73.9
22/01/1964,73.1
23/01/1964,73.45
24/01/1964,73.9
27/01/1964,71.6
28/01/1964,72.15
29/01/1964,71.75
30/01/1964,72.05
31/01/1964,72.45
03/02/1964,72.25
04/02/1964,71.1
05/02/1964,71.25
06/02/1964,71.1
07/02/1964,71.75
10/02/1964,71.05
11/02/1964,70.8
12/02/1964,70.2
13/02/1964,69.55
14/02/1964,69.5
17/02/1964,68.55
18/02/1964,68.3
19/02/1964,68.05
20/02/1964,68.3
24/02/1964,68.3
25/02/1964,69.59
26/02/1964,69.38
27/02/1964,69.3
28/02/1964,69.62
02/03/1964,70.15
03/03/1964,70.7
04/03/1964,70.85
05/03/1964,70.3
06/03/1964,70.55
09/03/1964,69.95
10/03/1964,69.3
11/03/1964,69.05
12/03/1964,69.5
13/03/1964,69.6
16/03/1964,68.9
17/03/1964,68.6
18/03/1964,67.85
19/03/1964,67.55
20/03/1964,67.4
23/03/1964,66.45
24/03/1964,65.6
25/03/1964,65.9
26/03/1964,66.35
30/03/1964,65.95
31/03/1964,65.15
01/04/1964,66.6
02/04/1964,66.75
03/04/1964,66.8
06/04/1964,66
07/04/1964,66.25
08/04/1964,66.75
09/04/1964,66.9
10/04/1964,67
13/04/1964,66.3
14/04/1964,66.75
15/04/1964,66.2
16/04/1964,65.9
17/04/1964,65.55
20/04/1964,64.3
21/04/1964,64.9
22/04/1964,65.25
23/04/1964,64.45
24/04/1964,64.5
27/04/1964,63.97
28/04/1964,63.54
29/04/1964,62.71
30/04/1964,62.81
01/05/1964,62.95
04/05/1964,62.9
05/05/1964,62.7
06/05/1964,61.85
07/05/1964,61.9
08/05/1964,61.3
11/05/1964,60.95
12/05/1964,61.25
13/05/1964,60.8
14/05/1964,60.8
15/05/1964,60.75
18/05/1964,61.2
19/05/1964,60.9
20/05/1964,60.6
21/05/1964,61.1
22/05/1964,62.05
25/05/1964,62.25
26/05/1964,61.6
27/05/1964,61.15
28/05/1964,60.9
01/06/1964,61.25
02/06/1964,61.4
03/06/1964,60.7
04/06/1964,61
05/06/1964,61.95
08/06/1964,61.75
09/06/1964,61.8
10/06/1964,62.65
11/06/1964,62.7
12/06/1964,62.75
15/06/1964,62.4
16/06/1964,61.65
17/06/1964,61.7
18/06/1964,62.25
19/06/1964,63
22/06/1964,63.1
23/06/1964,63.05
24/06/1964,63.1
25/06/1964,62.74
26/06/1964,63.26
29/06/1964,62.91
30/06/1964,63.32
01/07/1964,62.9
02/07/1964,63
06/07/1964,63
07/07/1964,62.3
08/07/1964,62.45
09/07/1964,62.2
10/07/1964,61.7
13/07/1964,60.6
14/07/1964,60.9
15/07/1964,60.85
16/07/1964,60.7
17/07/1964,60.9
20/07/1964,60.7
21/07/1964,60.35
22/07/1964,60.25
23/07/1964,60.05
24/07/1964,59.9
27/07/1964,59.8
28/07/1964,59.59
29/07/1964,59.75
30/07/1964,59.42
31/07/1964,59.56
03/08/1964,60.8
04/08/1964,60.4
05/08/1964,61.75
06/08/1964,60.9
07/08/1964,61.25
10/08/1964,60.25
11/08/1964,60
12/08/1964,60.85
13/08/1964,60.4
14/08/1964,60.45
17/08/1964,62.05
18/08/1964,62.55
19/08/1964,61.75
20/08/1964,61.95
21/08/1964,61.75
24/08/1964,62.75
25/08/1964,63.15
26/08/1964,64.69
27/08/1964,64.04
28/08/1964,64.51
31/08/1964,63.95
01/09/1964,62.95
02/09/1964,63.4
03/09/1964,63.75
04/09/1964,64.05
08/09/1964,63.1
09/09/1964,63.15
10/09/1964,63.75
11/09/1964,67.5
14/09/1964,67.9
15/09/1964,68.4
16/09/1964,68.3
17/09/1964,68.85
18/09/1964,68.3
21/09/1964,67.6
22/09/1964,67.8
23/09/1964,67.2
24/09/1964,67.5
25/09/1964,67.05
28/09/1964,67.57
29/09/1964,66.67
30/09/1964,65.86
01/10/1964,67.55
02/10/1964,68.35
05/10/1964,68.8
06/10/1964,67.8
07/10/1964,68
08/10/1964,67.75
09/10/1964,67.8
12/10/1964,65.8
13/10/1964,66.25
14/10/1964,66.2
15/10/1964,65.85
16/10/1964,65.7
19/10/1964,65.2
20/10/1964,65.1
21/10/1964,64.9
22/10/1964,64.6
23/10/1964,64.55
26/10/1964,64.65
27/10/1964,64.7
28/10/1964,64.1
29/10/1964,64.25
30/10/1964,64.4
02/11/1964,64.65
04/11/1964,64.3
05/11/1964,64.43
06/11/1964,64
09/11/1964,63.4
10/11/1964,63.55
11/11/1964,62.8
12/11/1964,63.4
13/11/1964,63.35
16/11/1964,63.35
17/11/1964,63.2
18/11/1964,62.85
19/11/1964,62.8
20/11/1964,63.2
23/11/1964,63.6
24/11/1964,64.06
25/11/1964,64.68
27/11/1964,65.34
30/11/1964,65.58
01/12/1964,64.6
02/12/1964,65.05
03/12/1964,66
04/12/1964,66.1
07/12/1964,66.45
08/12/1964,66.1
09/12/1964,66.45
10/12/1964,66.3
11/12/1964,65.85
14/12/1964,65.7
15/12/1964,64.95
16/12/1964,65
17/12/1964,65.95
18/12/1964,66.05
21/12/1964,65.95
22/12/1964,65.35
23/12/1964,64.7
24/12/1964,64.4
28/12/1964,63.65
29/12/1964,63.07
30/12/1964,63.84
31/12/1964,64.04
04/01/1965,64.25
05/01/1965,65.2
06/01/1965,65.15
07/01/1965,65.6
08/01/1965,65.6
11/01/1965,65.5
12/01/1965,65.9
13/01/1965,66
14/01/1965,66.25
15/01/1965,66.9
18/01/1965,67.7
19/01/1965,67.4
20/01/1965,67.2
21/01/1965,67.4
22/01/1965,67.8
25/01/1965,68.15
26/01/1965,67.65
27/01/1965,68.55
28/01/1965,68.65
29/01/1965,68.2
01/02/1965,68.5
02/02/1965,68.55
03/02/1965,68.7
04/02/1965,68.95
05/02/1965,69.2
08/02/1965,69.55
09/02/1965,67.4
10/02/1965,67.75
11/02/1965,67.9
12/02/1965,67.25
15/02/1965,65.75
16/02/1965,66.05
17/02/1965,65.7
18/02/1965,66.6
19/02/1965,66.85
23/02/1965,66.91
24/02/1965,66.96
25/02/1965,67.57
26/02/1965,67.85
01/03/1965,68.15
02/03/1965,68
03/03/1965,68.7
04/03/1965,68.8
05/03/1965,68.75
08/03/1965,68.15
09/03/1965,68.05
10/03/1965,68.15
11/03/1965,68.3
12/03/1965,68.15
15/03/1965,66.85
16/03/1965,66.65
17/03/1965,66.95
18/03/1965,65.5
19/03/1965,65.15
22/03/1965,65.3
23/03/1965,64.4
24/03/1965,65.2
25/03/1965,65.75
26/03/1965,66
29/03/1965,65.9
30/03/1965,65.8
31/03/1965,65.95
01/04/1965,66.9
02/04/1965,66.85
05/04/1965,67.25
06/04/1965,67.05
07/04/1965,67.2
08/04/1965,67.15
09/04/1965,67.3
12/04/1965,66.6
13/04/1965,66.25
14/04/1965,66.5
15/04/1965,66.75
19/04/1965,66.55
20/04/1965,66.8
21/04/1965,66.9
22/04/1965,66.2
23/04/1965,65.8
26/04/1965,65.1
27/04/1965,65.27
28/04/1965,66.11
29/04/1965,66.01
30/04/1965,66.48
03/05/1965,66.2
04/05/1965,66.25
05/05/1965,66.5
06/05/1965,66.05
07/05/1965,66
10/05/1965,66.85
11/05/1965,67.25
12/05/1965,67.25
13/05/1965,67.05
14/05/1965,68.3
17/05/1965,67.65
18/05/1965,67.65
19/05/1965,67.55
20/05/1965,67
21/05/1965,66.45
24/05/1965,65.3
25/05/1965,66.1
26/05/1965,66.55
27/05/1965,67.35
28/05/1965,68
01/06/1965,68.7
02/06/1965,68
03/06/1965,68.6
04/06/1965,69.85
07/06/1965,70.7
08/06/1965,70.6
09/06/1965,70.9
10/06/1965,72.5
11/06/1965,72.05
14/06/1965,71.25
15/06/1965,72.25
16/06/1965,72.75
17/06/1965,72.2
18/06/1965,73.4
21/06/1965,73.35
22/06/1965,73.55
23/06/1965,73.1
24/06/1965,73
25/06/1965,72.87
28/06/1965,72.27
29/06/1965,71.05
30/06/1965,71.35
01/07/1965,71.95
02/07/1965,71.8
06/07/1965,70.35
07/07/1965,70.75
08/07/1965,70.25
09/07/1965,70.25
12/07/1965,69.9
13/07/1965,69.85
14/07/1965,69.45
15/07/1965,68.55
16/07/1965,67.6
19/07/1965,67.85
20/07/1965,68.1
21/07/1965,68.8
22/07/1965,70.4
23/07/1965,70.05
26/07/1965,71.25
27/07/1965,71.1
28/07/1965,68.78
29/07/1965,68.01
30/07/1965,67.25
02/08/1965,65.2
03/08/1965,65
04/08/1965,64.95
05/08/1965,64.9
06/08/1965,65
09/08/1965,64.7
10/08/1965,64.35
11/08/1965,64.55
12/08/1965,64
13/08/1965,63.75
16/08/1965,62.85
17/08/1965,61.75
18/08/1965,62.25
19/08/1965,62.3
20/08/1965,61.65
23/08/1965,61.25
24/08/1965,61.95
25/08/1965,62.55
26/08/1965,62.79
27/08/1965,63.24
30/08/1965,63.52
31/08/1965,62
01/09/1965,61.75
02/09/1965,61
03/09/1965,61.15
07/09/1965,61.1
08/09/1965,61.8
09/09/1965,61
10/09/1965,61.1
13/09/1965,60.45
14/09/1965,60.45
15/09/1965,60.9
16/09/1965,62.2
17/09/1965,62.1
20/09/1965,62.5
21/09/1965,64.25
22/09/1965,68.8
23/09/1965,65.1
24/09/1965,63.5
27/09/1965,63.78
28/09/1965,61.8
29/09/1965,61.14
30/09/1965,60.97
01/10/1965,59.8
04/10/1965,59.5
05/10/1965,59.95
06/10/1965,59.55
07/10/1965,59.75
08/10/1965,60.55
11/10/1965,59.9
12/10/1965,59.7
13/10/1965,60.25
14/10/1965,60.5
15/10/1965,60.7
18/10/1965,60
19/10/1965,60.55
20/10/1965,60.5
21/10/1965,61.5
22/10/1965,62.4
25/10/1965,62.8
26/10/1965,62.9
27/10/1965,63.3
28/10/1965,64
29/10/1965,63.9
01/11/1965,63.9
02/11/1965,64.45
03/11/1965,63.3
04/11/1965,63.4
05/11/1965,63.4
08/11/1965,64
09/11/1965,63.9
10/11/1965,63.5
11/11/1965,63.15
12/11/1965,63.8
15/11/1965,64.1
16/11/1965,63.75
17/11/1965,63.1
18/11/1965,62.85
19/11/1965,63.1
22/11/1965,63.4
23/11/1965,64.05
24/11/1965,63.28
26/11/1965,62.75
29/11/1965,62.36
30/11/1965,62.53
01/12/1965,63
02/12/1965,64.35
03/12/1965,64.2
06/12/1965,65.25
07/12/1965,65.55
08/12/1965,65.85
09/12/1965,65.45
10/12/1965,65.1
13/12/1965,65.65
14/12/1965,65.15
15/12/1965,64.1
16/12/1965,63.6
17/12/1965,64.05
20/12/1965,63.6
21/12/1965,63.35
22/12/1965,64.15
23/12/1965,64
27/12/1965,64.29
28/12/1965,64.77
29/12/1965,64.3
30/12/1965,64.35
03/01/1966,65.15
04/01/1966,65.05
05/01/1966,66.25
06/01/1966,66.1
07/01/1966,66.3
10/01/1966,66
11/01/1966,67.1
12/01/1966,68.25
13/01/1966,69.3
14/01/1966,69.1
17/01/1966,67.7
18/01/1966,69.3
19/01/1966,70.25
20/01/1966,70.5
21/01/1966,69.55
24/01/1966,69.8
25/01/1966,69.6
26/01/1966,68.45
27/01/1966,67.65
28/01/1966,69.2
31/01/1966,68.7
01/02/1966,68.15
02/02/1966,68.1
03/02/1966,67.85
04/02/1966,68.8
07/02/1966,70.25
08/02/1966,70.3
09/02/1966,71.55
10/02/1966,70.6
11/02/1966,70.95
14/02/1966,71
15/02/1966,71.5
16/02/1966,70.6
17/02/1966,70.4
18/02/1966,69.75
21/02/1966,69.35
23/02/1966,69.3
24/02/1966,68.25
25/02/1966,67.58
28/02/1966,66.9
01/03/1966,67.15
02/03/1966,67.85
03/03/1966,67.2
04/03/1966,67.65
07/03/1966,67.8
08/03/1966,66.65
09/03/1966,66.95
10/03/1966,67.9
11/03/1966,68.8
14/03/1966,68.35
15/03/1966,67.9
16/03/1966,67.75
17/03/1966,67.75
18/03/1966,68.35
21/03/1966,67.6
22/03/1966,67
23/03/1966,67.4
24/03/1966,67.35
25/03/1966,67.25
28/03/1966,66.8
29/03/1966,66.6
30/03/1966,66.75
31/03/1966,66.55
01/04/1966,67.65
04/04/1966,67.3
05/04/1966,68.25
06/04/1966,68.85
07/04/1966,69.25
11/04/1966,69.6
12/04/1966,70
13/04/1966,70.3
14/04/1966,71.45
15/04/1966,71.6
18/04/1966,72.6
19/04/1966,72.75
20/04/1966,72.3
21/04/1966,73.05
22/04/1966,73.2
25/04/1966,73.05
26/04/1966,75.57
27/04/1966,75
28/04/1966,76.3
29/04/1966,75.74
02/05/1966,74.9
03/05/1966,75.1
04/05/1966,74.55
05/05/1966,75.3
06/05/1966,74.5
09/05/1966,74.5
10/05/1966,74.9
11/05/1966,75.5
12/05/1966,75.6
13/05/1966,75.95
16/05/1966,76.2
17/05/1966,76.4
18/05/1966,76
19/05/1966,75.1
20/05/1966,75.85
23/05/1966,76.65
24/05/1966,76.6
25/05/1966,77.45
26/05/1966,77.5
27/05/1966,78.9
31/05/1966,79.75
01/06/1966,80.25
02/06/1966,81.4
03/06/1966,82.2
06/06/1966,81.75
07/06/1966,80.9
08/06/1966,81.05
09/06/1966,81.4
10/06/1966,81.4
13/06/1966,82.55
14/06/1966,84.65
15/06/1966,87.3
16/06/1966,88.25
17/06/1966,88.25
20/06/1966,90.5
21/06/1966,89
22/06/1966,89
23/06/1966,92.6
24/06/1966,92.75
27/06/1966,95.99
28/06/1966,95.23
29/06/1966,95.92
30/06/1966,95.28
01/07/1966,93.8
05/07/1966,94.2
06/07/1966,92
07/07/1966,87.05
08/07/1966,87.25
11/07/1966,88.85
12/07/1966,91.6
13/07/1966,92.15
14/07/1966,89.9
15/07/1966,88.7
18/07/1966,90
19/07/1966,89
20/07/1966,87.75
21/07/1966,85.5
22/07/1966,84.8
25/07/1966,88.9
26/07/1966,84.36
27/07/1966,82.23
28/07/1966,83.31
29/07/1966,83.48
01/08/1966,83
02/08/1966,84.75
03/08/1966,86.1
04/08/1966,86.6
05/08/1966,87.15
08/08/1966,87.9
09/08/1966,88.2
10/08/1966,87.6
11/08/1966,92
12/08/1966,91.1
15/08/1966,91.3
16/08/1966,93.9
17/08/1966,96.45
18/08/1966,93.1
19/08/1966,92
22/08/1966,94.35
23/08/1966,96.4
24/08/1966,97
25/08/1966,95.2
26/08/1966,94.24
29/08/1966,92.36
30/08/1966,88.74
31/08/1966,86.23
01/09/1966,84.75
02/09/1966,84.6
06/09/1966,83.8
07/09/1966,82.1
08/09/1966,81.7
09/09/1966,83
12/09/1966,78.05
13/09/1966,79
14/09/1966,79.7
15/09/1966,78.3
16/09/1966,77.5
19/09/1966,76.5
20/09/1966,77.9
21/09/1966,77.15
22/09/1966,76.75
23/09/1966,75.65
26/09/1966,76.65
27/09/1966,77.34
28/09/1966,77.24
29/09/1966,78.2
30/09/1966,77.35
03/10/1966,75.7
04/10/1966,74.85
05/10/1966,74.45
06/10/1966,75.1
07/10/1966,76.5
10/10/1966,76.4
11/10/1966,76.25
12/10/1966,74.95
13/10/1966,75.35
14/10/1966,76.35
17/10/1966,77.75
18/10/1966,77.4
19/10/1966,76.95
20/10/1966,77.3
21/10/1966,76.2
24/10/1966,74.95
25/10/1966,75.3
26/10/1966,75.55
27/10/1966,74.7
28/10/1966,74.05
31/10/1966,74.45
01/11/1966,73.45
02/11/1966,74.35
03/11/1966,75
04/11/1966,74.95
07/11/1966,75.1
09/11/1966,74.4
10/11/1966,74.45
11/11/1966,76.05
14/11/1966,76.05
15/11/1966,75.65
16/11/1966,74.9
17/11/1966,75.3
18/11/1966,75.8
21/11/1966,76.15
22/11/1966,75.6
23/11/1966,75.4
25/11/1966,74.79
28/11/1966,75.31
29/11/1966,75.04
30/11/1966,75.31
01/12/1966,76.3
02/12/1966,76.8
05/12/1966,77
06/12/1966,76.4
07/12/1966,76.75
08/12/1966,77.25
09/12/1966,77.55
12/12/1966,78
13/12/1966,77.35
14/12/1966,76.85
15/12/1966,77.3
16/12/1966,78.5
19/12/1966,78.65
20/12/1966,78.15
21/12/1966,77.5
22/12/1966,78.4
23/12/1966,78
27/12/1966,78.17
28/12/1966,78.39
29/12/1966,77.29
30/12/1966,76.41
03/01/1967,74.55
04/01/1967,74.75
05/01/1967,74.65
06/01/1967,75
09/01/1967,74.65
10/01/1967,74.2
11/01/1967,74.4
12/01/1967,74.55
13/01/1967,75
16/01/1967,74.45
17/01/1967,74.05
18/01/1967,73.9
19/01/1967,74.45
20/01/1967,74.6
23/01/1967,75.1
24/01/1967,74.9
25/01/1967,75.4
26/01/1967,75.6
30/01/1967,75.95
31/01/1967,75.9
01/02/1967,76.4
02/02/1967,75.95
03/02/1967,75.5
06/02/1967,75.3
07/02/1967,75.45
08/02/1967,74.85
09/02/1967,74.85
10/02/1967,74.4
13/02/1967,74.45
14/02/1967,73.75
15/02/1967,73.6
16/02/1967,74.45
17/02/1967,74.4
20/02/1967,74.45
21/02/1967,74.45
23/02/1967,73.92
24/02/1967,73.66
27/02/1967,73.51
28/02/1967,73.99
01/03/1967,74.2
02/03/1967,74.3
03/03/1967,74
06/03/1967,74.25
07/03/1967,73.95
08/03/1967,73.2
09/03/1967,72.9
10/03/1967,72.85
13/03/1967,73.15
14/03/1967,73.05
15/03/1967,73.3
16/03/1967,73.85
17/03/1967,73.85
20/03/1967,73.55
21/03/1967,72.75
22/03/1967,72.55
23/03/1967,72.7
27/03/1967,72.35
28/03/1967,72.2
29/03/1967,72.35
30/03/1967,72.6
31/03/1967,72.55
03/04/1967,72.15
04/04/1967,71.95
05/04/1967,71.85
06/04/1967,72
07/04/1967,71.95
10/04/1967,72.2
11/04/1967,72.15
12/04/1967,71.95
13/04/1967,71.75
14/04/1967,71.6
17/04/1967,71.35
18/04/1967,71.45
19/04/1967,71.15
20/04/1967,71.15
21/04/1967,71
24/04/1967,70.55
25/04/1967,70.47
26/04/1967,69.67
27/04/1967,69.28
28/04/1967,70.49
01/05/1967,70.6
02/05/1967,70
03/05/1967,70.05
04/05/1967,70.1
05/05/1967,71.1
08/05/1967,70.6
09/05/1967,70.4
10/05/1967,70.35
11/05/1967,70.7
12/05/1967,70.6
15/05/1967,70.5
16/05/1967,70.4
17/05/1967,70.7
18/05/1967,70.5
19/05/1967,71.85
22/05/1967,71.65
23/05/1967,73.7
24/05/1967,73.4
25/05/1967,72.25
26/05/1967,72.5
29/05/1967,73
31/05/1967,74.45
01/06/1967,74.25
02/06/1967,73.9
05/06/1967,75.4
06/06/1967,74.15
07/06/1967,73.45
08/06/1967,74.2
09/06/1967,73.7
12/06/1967,73
13/06/1967,73.25
14/06/1967,74.15
