Date,SoybeanOil
26/10/1960,0.0914
27/10/1960,0.0911
28/10/1960,0.0915
31/10/1960,0.0926
01/11/1960,0.092
02/11/1960,0.092
03/11/1960,0.092
04/11/1960,0.0918
07/11/1960,0.0918
09/11/1960,0.0924
10/11/1960,0.0915
11/11/1960,0.0916
14/11/1960,0.0898
15/11/1960,0.09
16/11/1960,0.0901
17/11/1960,0.0912
18/11/1960,0.0906
21/11/1960,0.0899
22/11/1960,0.0898
23/11/1960,0.0906
25/11/1960,0.0906
28/11/1960,0.0901
29/11/1960,0.0885
30/11/1960,0.089
01/12/1960,0.0888
02/12/1960,0.0891
05/12/1960,0.0893
06/12/1960,0.0896
07/12/1960,0.0901
08/12/1960,0.0902
09/12/1960,0.0903
12/12/1960,0.091
13/12/1960,0.09
14/12/1960,0.0898
15/12/1960,0.0896
16/12/1960,0.0901
19/12/1960,0.0905
20/12/1960,0.0899
21/12/1960,0.0909
22/12/1960,0.091
23/12/1960,0.0916
27/12/1960,0.0912
28/12/1960,0.0918
29/12/1960,0.0928
30/12/1960,0.0932
03/01/1961,0.0946
04/01/1961,0.0944
05/01/1961,0.0954
06/01/1961,0.0988
09/01/1961,0.1004
10/01/1961,0.0997
11/01/1961,0.0998
12/01/1961,0.1003
13/01/1961,0.1017
16/01/1961,0.1053
17/01/1961,0.1063
18/01/1961,0.1045
19/01/1961,0.1039
20/01/1961,0.1025
23/01/1961,0.1038
24/01/1961,0.1055
25/01/1961,0.1051
26/01/1961,0.107
27/01/1961,0.1068
30/01/1961,0.1095
31/01/1961,0.1067
01/02/1961,0.1098
02/02/1961,0.1103
03/02/1961,0.1122
06/02/1961,0.115
07/02/1961,0.1126
08/02/1961,0.1154
09/02/1961,0.116
10/02/1961,0.1167
13/02/1961,0.1172
14/02/1961,0.118
15/02/1961,0.118
16/02/1961,0.1186
17/02/1961,0.1168
20/02/1961,0.1153
21/02/1961,0.1161
23/02/1961,0.1195
24/02/1961,0.12
27/02/1961,0.1224
28/02/1961,0.122
01/03/1961,0.116
02/03/1961,0.117
03/03/1961,0.1184
06/03/1961,0.119
07/03/1961,0.1174
08/03/1961,0.117
09/03/1961,0.1145
10/03/1961,0.1157
13/03/1961,0.1117
14/03/1961,0.1142
15/03/1961,0.1121
16/03/1961,0.1133
17/03/1961,0.113
20/03/1961,0.112
21/03/1961,0.1122
22/03/1961,0.114
23/03/1961,0.1162
24/03/1961,0.1161
27/03/1961,0.1157
28/03/1961,0.1163
29/03/1961,0.114
30/03/1961,0.1151
03/04/1961,0.115
04/04/1961,0.1161
05/04/1961,0.1181
06/04/1961,0.119
07/04/1961,0.1178
10/04/1961,0.1205
11/04/1961,0.126
12/04/1961,0.1237
13/04/1961,0.123
14/04/1961,0.1228
17/04/1961,0.1181
18/04/1961,0.1228
19/04/1961,0.1241
20/04/1961,0.123
21/04/1961,0.1237
24/04/1961,0.1238
25/04/1961,0.1278
26/04/1961,0.1244
27/04/1961,0.1242
28/04/1961,0.1247
01/05/1961,0.1246
02/05/1961,0.1242
03/05/1961,0.123
04/05/1961,0.1218
05/05/1961,0.1206
08/05/1961,0.1197
09/05/1961,0.1173
10/05/1961,0.1192
11/05/1961,0.119
12/05/1961,0.12
15/05/1961,0.1186
16/05/1961,0.1182
17/05/1961,0.1193
18/05/1961,0.1193
19/05/1961,0.1185
22/05/1961,0.115
23/05/1961,0.1157
24/05/1961,0.1153
25/05/1961,0.1155
26/05/1961,0.113
29/05/1961,0.1138
31/05/1961,0.1162
01/06/1961,0.1159
02/06/1961,0.116
05/06/1961,0.1169
06/06/1961,0.115
07/06/1961,0.1157
08/06/1961,0.1157
09/06/1961,0.1132
12/06/1961,0.1092
13/06/1961,0.1092
14/06/1961,0.1112
15/06/1961,0.1074
16/06/1961,0.108
19/06/1961,0.1073
20/06/1961,0.1067
21/06/1961,0.1059
22/06/1961,0.107
23/06/1961,0.1084
26/06/1961,0.1058
27/06/1961,0.1061
28/06/1961,0.1067
29/06/1961,0.108
30/06/1961,0.1095
03/07/1961,0.1127
05/07/1961,0.1127
06/07/1961,0.111
07/07/1961,0.1092
10/07/1961,0.1083
11/07/1961,0.1086
12/07/1961,0.1071
13/07/1961,0.1074
14/07/1961,0.1042
17/07/1961,0.1034
18/07/1961,0.1048
19/07/1961,0.1056
20/07/1961,0.1038
21/07/1961,0.1052
24/07/1961,0.1062
25/07/1961,0.1093
26/07/1961,0.1085
27/07/1961,0.1089
28/07/1961,0.1088
31/07/1961,0.1089
01/08/1961,0.1075
02/08/1961,0.1085
03/08/1961,0.1078
04/08/1961,0.1083
07/08/1961,0.108
08/08/1961,0.1076
09/08/1961,0.1072
10/08/1961,0.1081
11/08/1961,0.1078
14/08/1961,0.1084
15/08/1961,0.1102
16/08/1961,0.109
17/08/1961,0.1102
18/08/1961,0.1102
21/08/1961,0.1087
22/08/1961,0.1074
23/08/1961,0.1085
24/08/1961,0.1082
25/08/1961,0.1082
28/08/1961,0.1074
29/08/1961,0.1069
30/08/1961,0.107
31/08/1961,0.1066
01/09/1961,0.1059
05/09/1961,0.1055
06/09/1961,0.1049
07/09/1961,0.1042
08/09/1961,0.1046
11/09/1961,0.1053
12/09/1961,0.1061
13/09/1961,0.1053
14/09/1961,0.1043
15/09/1961,0.1041
18/09/1961,0.1034
19/09/1961,0.1036
20/09/1961,0.1041
21/09/1961,0.1048
22/09/1961,0.1048
25/09/1961,0.1048
26/09/1961,0.1043
27/09/1961,0.1053
28/09/1961,0.1054
29/09/1961,0.1058
02/10/1961,0.1066
03/10/1961,0.1088
04/10/1961,0.1095
05/10/1961,0.1091
06/10/1961,0.108
09/10/1961,0.1086
10/10/1961,0.1092
11/10/1961,0.1085
12/10/1961,0.1075
13/10/1961,0.1094
16/10/1961,0.1083
17/10/1961,0.1074
18/10/1961,0.1077
19/10/1961,0.1068
20/10/1961,0.1066
23/10/1961,0.1066
24/10/1961,0.1055
25/10/1961,0.1055
26/10/1961,0.1044
27/10/1961,0.1043
30/10/1961,0.1041
31/10/1961,0.1041
01/11/1961,0.1041
02/11/1961,0.1037
03/11/1961,0.104
06/11/1961,0.1047
07/11/1961,0.105
08/11/1961,0.1043
09/11/1961,0.1038
10/11/1961,0.1057
13/11/1961,0.1049
14/11/1961,0.1041
15/11/1961,0.1038
16/11/1961,0.1037
17/11/1961,0.1037
20/11/1961,0.1031
21/11/1961,0.1043
22/11/1961,0.1038
24/11/1961,0.1041
27/11/1961,0.1036
28/11/1961,0.1036
29/11/1961,0.1035
30/11/1961,0.1043
01/12/1961,0.1039
04/12/1961,0.1042
05/12/1961,0.1042
06/12/1961,0.1049
07/12/1961,0.1043
08/12/1961,0.1049
11/12/1961,0.1051
12/12/1961,0.1066
13/12/1961,0.106
14/12/1961,0.1065
15/12/1961,0.1081
18/12/1961,0.1072
19/12/1961,0.1067
20/12/1961,0.1065
21/12/1961,0.1065
22/12/1961,0.1062
26/12/1961,0.106
27/12/1961,0.1056
28/12/1961,0.1061
29/12/1961,0.1061
02/01/1962,0.1064
03/01/1962,0.1066
04/01/1962,0.106
05/01/1962,0.1066
08/01/1962,0.1066
09/01/1962,0.1073
10/01/1962,0.107
11/01/1962,0.1074
12/01/1962,0.1089
15/01/1962,0.1086
16/01/1962,0.1071
17/01/1962,0.1076
18/01/1962,0.1072
19/01/1962,0.1072
22/01/1962,0.1064
23/01/1962,0.1067
24/01/1962,0.1066
25/01/1962,0.1062
26/01/1962,0.1054
29/01/1962,0.104
30/01/1962,0.1036
31/01/1962,0.104
01/02/1962,0.1037
02/02/1962,0.1049
05/02/1962,0.1049
06/02/1962,0.1043
07/02/1962,0.1043
08/02/1962,0.1037
09/02/1962,0.1034
12/02/1962,0.1035
13/02/1962,0.1039
14/02/1962,0.1043
15/02/1962,0.1038
16/02/1962,0.1028
19/02/1962,0.1021
20/02/1962,0.1021
21/02/1962,0.1013
23/02/1962,0.1017
26/02/1962,0.1019
27/02/1962,0.1012
28/02/1962,0.1013
01/03/1962,0.1022
02/03/1962,0.1029
05/03/1962,0.103
06/03/1962,0.1027
07/03/1962,0.1033
08/03/1962,0.1036
09/03/1962,0.1035
12/03/1962,0.1023
13/03/1962,0.1021
14/03/1962,0.102
15/03/1962,0.1019
16/03/1962,0.1019
19/03/1962,0.1016
20/03/1962,0.1014
21/03/1962,0.1022
22/03/1962,0.102
23/03/1962,0.1024
