m,n,Soybean,Soybean Oil,Soybean Meal,Average
2,3,2603.8,2583.96,348.97,1845.58
2,2,2605.1,2584.99,346.69,1845.6
3,2,2607.1,2586.99,343.1,1845.73
4,1,2606.17,2588.75,343.71,1846.21
2,1,2610.23,2584.81,344.69,1846.58
2,4,2605.8,2584.3,350.35,1846.81
3,1,2612.23,2586.81,341.71,1846.92
4,2,2608.17,2588.99,345.1,1847.42
3,3,2605.8,2585.96,350.92,1847.56
3,4,2607.8,2586.3,351.09,1848.4
4,3,2607.18,2587.96,351.11,1848.75
4,4,2609.18,2588.3,354.13,1850.54
1,1,2628.77,2582.88,345.3,1852.32
1,2,2630.77,2584.88,344.24,1853.3
1,3,2632.77,2586.28,346.24,1855.1
1,4,2634.77,2587.69,348.12,1856.86
