,,Soybean,Soybean Oil,Soybean Meal,Average
2,3,2603.7957793953274,2583.9552014184883,348.97485764062486,1845.5752794848133
2,2,2605.1044633344463,2584.9942885987703,346.68792716339294,1845.5955596988697
3,2,2607.104463327803,2586.9942887551206,343.09865334877355,1845.7324684772327
4,1,2606.1706281025345,2588.750258590577,343.71424117960225,1846.2117092909045
2,1,2610.234352725647,2584.8066726614356,344.68792680668577,1846.576317397923
2,4,2605.7957794696986,2584.2997539275593,350.34506259568127,1846.8135319976464
3,1,2612.23435270366,2586.806672623158,341.71424060029756,1846.9184219757053
4,2,2608.170627902974,2588.9942888302794,345.09865266730026,1847.4211898001847
3,3,2605.795780078297,2585.955206065253,350.91825476510036,1847.556413636217
3,4,2607.7957793986234,2586.299754313738,351.0930702925085,1848.3962013349567
4,3,2607.183707739139,2587.955205332504,351.1112298991624,1848.750047656935
4,4,2609.1837076935417,2588.2997539939224,354.13101776845394,1850.5381598186393
1,1,2628.7700656757606,2582.883760178428,345.2980868485728,1852.317304234254
1,2,2630.770065202614,2584.8837602134736,344.24161730028015,1853.298480905456
1,3,2632.77006478248,2586.276509132128,346.2416173904552,1855.096063768354
1,4,2634.7700647824986,2587.6896792797397,348.12256188912335,1856.8607686504538
