DATE,AAA,A,AA,BBB,BB,B,CCC
1996-12-31,6.72,6.97,6.82,7.26,8.36,10.01,13.97
1997-01-02,6.8,7.06,6.92,7.36,8.43,10.0,13.95
1997-01-03,6.8,7.04,6.9,7.34,8.43,10.01,14.02
1997-01-06,6.8,7.06,6.92,7.37,8.45,10.05,14.03
1997-01-07,6.82,7.09,6.95,7.39,8.47,10.07,14.05
1997-01-08,6.84,7.11,6.97,7.41,8.47,10.07,14.06
1997-01-09,6.81,7.05,6.91,7.35,8.44,10.04,14.1
1997-01-10,6.9,7.16,7.03,7.44,8.5,10.06,14.11
1997-01-13,6.9,7.15,7.01,7.44,8.49,10.06,14.15
1997-01-14,6.83,7.06,6.93,7.35,8.42,10.03,14.03
1997-01-15,6.83,7.06,6.92,7.35,8.4,10.0,13.96
1997-01-16,6.84,7.1,6.96,7.39,8.42,10.0,13.92
1997-01-17,6.83,7.08,6.95,7.38,8.41,10.0,13.93
1997-01-20,6.83,7.08,6.95,7.38,8.4,10.0,13.87
1997-01-21,6.82,7.05,6.91,7.34,8.38,9.98,13.87
1997-01-22,6.83,7.08,6.94,7.37,8.38,9.95,13.83
1997-01-23,6.86,7.11,6.97,7.4,8.4,9.95,13.88
1997-01-24,6.91,7.15,7.01,7.44,8.41,9.95,13.84
1997-01-27,6.96,7.19,7.06,7.48,8.43,9.94,13.8
1997-01-28,6.91,7.14,7.01,7.43,8.4,9.94,13.69
1997-01-29,6.9,7.14,7.01,7.43,8.4,9.88,13.83
1997-01-30,6.86,7.11,6.99,7.4,8.37,9.9,13.86
1997-01-31,6.81,7.04,6.91,7.33,8.35,9.92,13.94
1997-02-03,6.76,6.97,6.85,7.27,8.28,9.9,13.86
1997-02-04,6.74,6.96,6.83,7.25,8.27,9.89,13.81
1997-02-05,6.77,6.98,6.85,7.28,8.27,9.87,13.79
1997-02-06,6.77,6.99,6.86,7.28,8.26,9.86,13.77
1997-02-07,6.72,6.94,6.81,7.23,8.22,9.85,13.71
1997-02-10,6.72,6.93,6.8,7.23,8.21,9.83,13.64
1997-02-11,6.72,6.93,6.81,7.23,8.21,9.81,13.63
1997-02-12,6.74,6.95,6.82,7.24,8.21,9.79,13.59
